INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,PRECINCT,JURISDICTION_CODE,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,New Georeferenced Column
234396483,10/01/2021,19:15:00,BROOKLYN,73,0,,false,,,,18-24,M,BLACK,1007016,182405,40.66731526400008,-73.91793716199999,POINT (-73.91793716199999 40.66731526400008)
224950992,02/27/2021,02:15:00,BRONX,45,2,MULTI DWELL - PUBLIC HOUS,false,,,,18-24,M,BLACK HISPANIC,1033515,237761,40.81914554400004,-73.82201133899997,POINT (-73.82201133899997 40.81914554400004)
225438896,03/10/2021,15:41:00,MANHATTAN,26,0,,false,25-44,M,BLACK,25-44,M,BLACK,997004,236786,40.81659760700006,-73.95392416599998,POINT (-73.95392416599998 40.81659760700006)
234109824,09/27/2021,00:24:00,BROOKLYN,73,0,,false,25-44,M,BLACK,25-44,M,BLACK,1011055,178343,40.656154669000045,-73.90339399399994,POINT (-73.90339399399994 40.656154669000045)
229540934,06/14/2021,21:20:00,QUEENS,103,0,,false,,,,18-24,M,BLACK,1048517,198601,40.71156543300003,-73.76818506299998,POINT (-73.76818506299998 40.71156543300003)
226598085,04/06/2021,16:10:00,BROOKLYN,70,0,,false,,,,25-44,F,BLACK HISPANIC,994431,176337,40.650683352000044,-73.96331128799993,POINT (-73.96331128799993 40.650683352000044)
230421164,07/02/2021,16:15:00,BROOKLYN,67,0,,false,,,,<18,M,BLACK,1005525,181441,40.66467300700003,-73.92331478799997,POINT (-73.92331478799997 40.66467300700003)
230611231,07/08/2021,21:19:00,BRONX,43,2,MULTI DWELL - PUBLIC HOUS,false,,,,25-44,M,BLACK,1018369,244042,40.83645656600004,-73.87670047599995,POINT (-73.87670047599995 40.83645656600004)
232390407,08/17/2021,13:00:00,BRONX,41,0,COMMERCIAL BLDG,false,25-44,M,WHITE HISPANIC,25-44,M,BLACK HISPANIC,1015966,235235,40.812292824000046,-73.885426178,POINT (-73.885426178 40.812292824000046)
232888017,08/29/2021,17:44:00,QUEENS,106,0,GAS STATION,false,25-44,M,WHITE HISPANIC,45-64,M,WHITE HISPANIC,1028502,187094,40.68010417800008,-73.840456224,POINT (-73.840456224 40.68010417800008)
229643172,06/16/2021,23:22:00,BRONX,52,0,,true,25-44,M,BLACK,25-44,M,BLACK,1014313,254123,40.864140648000046,-73.89131303799998,POINT (-73.89131303799998 40.864140648000046)
228262995,05/15/2021,21:07:00,BRONX,44,0,,false,18-24,M,WHITE HISPANIC,25-44,F,WHITE HISPANIC,1010688,245851,40.841448077000045,-73.90445130899997,POINT (-73.90445130899997 40.841448077000045)
233763098,09/18/2021,03:24:00,BROOKLYN,67,0,,false,25-44,M,BLACK,25-44,M,BLACK,1004006,171400,40.63711616800003,-73.92881949599996,POINT (-73.92881949599996 40.63711616800003)
230162218,06/25/2021,12:49:00,QUEENS,101,0,MULTI DWELL - APT BUILD,true,,,,18-24,M,WHITE HISPANIC,1043650,154675,40.59103248900004,-73.78612750699995,POINT (-73.78612750699995 40.59103248900004)
229089207,06/03/2021,13:10:00,BRONX,47,0,,false,25-44,M,BLACK,25-44,M,BLACK,1028386,257476,40.87328445500003,-73.84041215699995,POINT (-73.84041215699995 40.87328445500003)
226803363,04/11/2021,03:00:00,BROOKLYN,77,0,,false,,,,25-44,M,BLACK,998039,184139,40.67209323800005,-73.95029287299997,POINT (-73.95029287299997 40.67209323800005)
228299908,05/17/2021,23:05:00,BROOKLYN,73,0,,true,,,,25-44,F,BLACK,1006906,183999,40.67169072000007,-73.91832832099993,POINT (-73.91832832099993 40.67169072000007)
228917763,05/31/2021,22:29:00,MANHATTAN,25,0,,false,25-44,M,BLACK,<18,M,BLACK,1001312,231864,40.80308081300007,-73.93837286099993,POINT (-73.93837286099993 40.80308081300007)
233468974,09/13/2021,03:55:00,BRONX,41,0,,false,,,,<18,M,BLACK,1016614,234651,40.810687557000044,-73.88308807099996,POINT (-73.88308807099996 40.810687557000044)
232733332,08/25/2021,15:50:00,STATEN ISLAND,120,0,BEAUTY/NAIL SALON,false,,,,<18,F,WHITE HISPANIC,962505,171812,40.638242355000045,-74.078351189,POINT (-74.078351189 40.638242355000045)
234482345,10/02/2021,03:21:00,QUEENS,100,2,MULTI DWELL - PUBLIC HOUS,false,25-44,M,BLACK,25-44,F,BLACK,1037554,154246,40.58989372800004,-73.80807989899995,POINT (-73.80807989899995 40.58989372800004)
225832570,03/18/2021,16:10:00,QUEENS,107,0,,false,18-24,M,BLACK,25-44,M,WHITE HISPANIC,1037559,207802,40.736892700000055,-73.80763845499997,POINT (-73.80763845499997 40.736892700000055)
223827862,02/01/2021,22:20:00,BRONX,48,0,MULTI DWELL - APT BUILD,false,<18,M,WHITE HISPANIC,25-44,F,BLACK HISPANIC,1013207,249659,40.85189201000002,-73.89533089999998,POINT (-73.89533089999998 40.85189201000002)
231941262,08/07/2021,14:07:00,BROOKLYN,77,0,,false,,,,18-24,M,BLACK,1004068,182079,40.66642755600003,-73.92856472999993,POINT (-73.92856472999993 40.66642755600003)
235740736,10/30/2021,23:56:00,BRONX,45,2,MULTI DWELL - PUBLIC HOUS,false,18-24,M,BLACK,25-44,M,BLACK,1032218,239444,40.82377203300007,-73.82668524399996,POINT (-73.82668524399996 40.82377203300007)
227344204,04/24/2021,00:12:00,BRONX,46,0,,false,,,,18-24,M,BLACK HISPANIC,1012262,250089,40.85307527900005,-73.89874498199998,POINT (-73.89874498199998 40.85307527900005)
231008087,07/16/2021,18:15:00,QUEENS,101,0,,false,,,,25-44,M,BLACK,1051113,160811,40.607821351000034,-73.75919583799998,POINT (-73.75919583799998 40.607821351000034)
230719148,07/11/2021,03:58:00,BRONX,44,0,,false,,,,25-44,M,BLACK,1006717,244842,40.838689661000046,-73.91880635699994,POINT (-73.91880635699994 40.838689661000046)
235964852,11/06/2021,22:50:00,BROOKLYN,73,2,MULTI DWELL - PUBLIC HOUS,false,,,,25-44,M,BLACK,1009588,187367,40.68092784700008,-73.90864726399997,POINT (-73.90864726399997 40.68092784700008)
236363733,11/16/2021,22:39:00,MANHATTAN,14,0,,false,<18,M,BLACK,18-24,M,BLACK,988590,213119,40.751646125000036,-73.98433730999993,POINT (-73.98433730999993 40.751646125000036)
230210692,06/29/2021,00:13:00,BRONX,52,0,,false,,,,18-24,M,BLACK,1019293,259727,40.87950353400004,-73.87327928399996,POINT (-73.87327928399996 40.87950353400004)
228258633,05/15/2021,23:25:00,MANHATTAN,14,0,GROCERY/BODEGA,false,25-44,F,BLACK,25-44,M,BLACK,986382,213900,40.75379058100003,-73.99230628299993,POINT (-73.99230628299993 40.75379058100003)
228559720,05/22/2021,18:39:00,BRONX,48,0,,false,,,,18-24,M,BLACK,1016391,249523,40.851507714000036,-73.88382239499998,POINT (-73.88382239499998 40.851507714000036)
228586949,05/23/2021,22:13:00,MANHATTAN,28,0,,false,,,,<18,M,BLACK,997123,233286,40.806990908000046,-73.95350095699997,POINT (-73.95350095699997 40.806990908000046)
223505521,01/23/2021,18:00:00,QUEENS,103,0,,false,,,,25-44,M,BLACK,1051973,197573,40.708718049000026,-73.75572938899995,POINT (-73.75572938899995 40.708718049000026)
233897874,09/22/2021,03:30:00,BRONX,46,0,,false,,,,18-24,M,BLACK,1011755,250279,40.85359836700008,-73.90057688099995,POINT (-73.90057688099995 40.85359836700008)
227182807,04/21/2021,01:15:00,MANHATTAN,34,0,,true,25-44,M,BLACK,18-24,M,WHITE HISPANIC,1006930,254095,40.864085852000066,-73.91800528099996,POINT (-73.91800528099996 40.864085852000066)
232497425,08/19/2021,13:49:00,BROOKLYN,69,0,,false,25-44,M,BLACK,18-24,M,BLACK,1015294,173667,40.64330622600005,-73.88813782199998,POINT (-73.88813782199998 40.64330622600005)
233429422,09/11/2021,15:13:00,BROOKLYN,73,0,,false,25-44,M,BLACK,25-44,M,BLACK,1006376,181512,40.66486580000004,-73.92024708999998,POINT (-73.92024708999998 40.66486580000004)
232887623,08/27/2021,01:50:00,MANHATTAN,34,0,,true,25-44,M,BLACK,25-44,M,BLACK,1007258,255280,40.86733746700002,-73.91681537799997,POINT (-73.91681537799997 40.86733746700002)
230287864,07/01/2021,02:20:00,BRONX,47,0,,false,25-44,M,BLACK,25-44,M,BLACK,1032443,262435,40.886874127000056,-73.82570699999997,POINT (-73.82570699999997 40.886874127000056)
229507141,06/11/2021,16:05:00,BRONX,40,0,,true,25-44,M,BLACK,25-44,M,BLACK,1007956,233989,40.80889802400003,-73.91436698999998,POINT (-73.91436698999998 40.80889802400003)
227431725,04/27/2021,18:15:00,BRONX,47,0,,true,25-44,M,BLACK,25-44,F,WHITE,1021249,260648,40.88202340700008,-73.86620093899995,POINT (-73.86620093899995 40.88202340700008)
222772732,01/07/2021,04:20:00,MANHATTAN,25,0,MULTI DWELL - PUBLIC HOUS,false,,,,18-24,M,BLACK,1002966,230790,40.80012963000007,-73.93240154599994,POINT (-73.93240154599994 40.80012963000007)
231810236,08/03/2021,01:00:00,QUEENS,101,2,MULTI DWELL - PUBLIC HOUS,true,,,,25-44,M,BLACK,1044074,156299,40.59548717900003,-73.78458649099997,POINT (-73.78458649099997 40.59548717900003)
229904043,06/22/2021,02:39:00,STATEN ISLAND,120,0,PVT HOUSE,true,25-44,M,WHITE HISPANIC,18-24,F,WHITE HISPANIC,960272,171100,40.636282304000076,-74.086394409,POINT (-74.086394409 40.636282304000076)
225602526,03/13/2021,22:03:00,MANHATTAN,32,0,,false,,,,25-44,M,BLACK,1000196,237925,40.81971865700007,-73.94238949699997,POINT (-73.94238949699997 40.81971865700007)
229161013,06/05/2021,17:50:00,BRONX,44,0,,false,<18,M,BLACK,<18,F,WHITE HISPANIC,1007847,245236,40.83976812900005,-73.91472118499998,POINT (-73.91472118499998 40.83976812900005)
224744462,02/23/2021,19:50:00,BROOKLYN,70,0,COMMERCIAL BLDG,false,,,,25-44,M,BLACK,995107,175859,40.64937054300003,-73.96087589799998,POINT (-73.96087589799998 40.64937054300003)
225601140,03/13/2021,03:50:00,BROOKLYN,90,0,BAR/NIGHT CLUB,false,18-24,M,BLACK HISPANIC,45-64,M,WHITE HISPANIC,1001951,195081,40.70211956100008,-73.93616159099997,POINT (-73.93616159099997 40.70211956100008)
229188686,06/06/2021,02:00:00,BRONX,46,0,MULTI DWELL - APT BUILD,true,25-44,M,WHITE HISPANIC,25-44,M,BLACK,1013266,253128,40.86141317800008,-73.89510261899994,POINT (-73.89510261899994 40.86141317800008)
235740735,10/31/2021,00:50:00,BRONX,49,0,,false,,,,18-24,M,BLACK,1023113,256116,40.86957646700006,-73.85948640399994,POINT (-73.85948640399994 40.86957646700006)
233080845,09/02/2021,17:42:00,BRONX,41,0,,false,18-24,M,BLACK,18-24,M,BLACK,1014604,238800,40.82208252700008,-73.89033032599998,POINT (-73.89033032599998 40.82208252700008)
231110270,07/20/2021,17:30:00,MANHATTAN,23,0,,false,,,,18-24,M,BLACK,998940,228642,40.79424156400006,-73.94694765999998,POINT (-73.94694765999998 40.79424156400006)
227497352,04/28/2021,23:33:00,MANHATTAN,26,2,MULTI DWELL - PUBLIC HOUS,false,,,,18-24,M,BLACK,996130,235208,40.81226765700006,-73.95708452099996,POINT (-73.95708452099996 40.81226765700006)
225339882,03/08/2021,22:00:00,BROOKLYN,90,2,MULTI DWELL - PUBLIC HOUS,true,,,,25-44,M,BLACK,994231,196250,40.705340265000075,-73.96400255699997,POINT (-73.96400255699997 40.705340265000075)
230741368,07/11/2021,00:15:00,QUEENS,113,0,,true,,,,18-24,M,BLACK,1048630,192944,40.696037527000044,-73.76783154699996,POINT (-73.76783154699996 40.696037527000044)
223198985,01/16/2021,12:39:00,MANHATTAN,32,0,MULTI DWELL - APT BUILD,true,18-24,M,BLACK,25-44,F,BLACK,1000828,240293,40.826216983000045,-73.94010026799998,POINT (-73.94010026799998 40.826216983000045)
225295736,03/07/2021,06:15:00,BROOKLYN,75,0,,false,25-44,M,BLACK HISPANIC,25-44,M,WHITE HISPANIC,1020492,187865,40.68225681500007,-73.86933111399996,POINT (-73.86933111399996 40.68225681500007)
237153261,11/30/2021,19:10:00,BROOKLYN,75,2,MULTI DWELL - PUBLIC HOUS,false,,,,18-24,M,BLACK,1013031,182526,40.66762987300007,-73.89625447799993,POINT (-73.89625447799993 40.66762987300007)
233172869,09/05/2021,04:20:00,BRONX,47,0,,false,,,,18-24,M,BLACK,1026055,269635,40.90666837700008,-73.84876478999998,POINT (-73.84876478999998 40.90666837700008)
228759414,05/27/2021,04:03:00,BROOKLYN,75,0,,false,,,,25-44,M,BLACK,1014776,177854,40.65480042600007,-73.88998542699994,POINT (-73.88998542699994 40.65480042600007)
228482609,05/20/2021,00:30:00,BROOKLYN,77,0,,false,,,,45-64,M,BLACK,998074,184626,40.673429889000026,-73.95016570099993,POINT (-73.95016570099993 40.673429889000026)
230162223,06/27/2021,01:05:00,BRONX,44,0,MULTI DWELL - APT BUILD,false,,,,25-44,M,BLACK,1004352,244652,40.838173866000034,-73.92735396399996,POINT (-73.92735396399996 40.838173866000034)
230412253,07/04/2021,00:38:00,BRONX,42,0,GROCERY/BODEGA,false,,,,25-44,M,BLACK HISPANIC,1013401,241249,40.82880838400007,-73.89466620499996,POINT (-73.89466620499996 40.82880838400007)
230193606,06/28/2021,20:01:00,BROOKLYN,73,0,,false,,,,45-64,M,BLACK,1009055,178206,40.65578446200004,-73.91060265899995,POINT (-73.91060265899995 40.65578446200004)
222932692,01/11/2021,23:49:00,BRONX,47,0,MULTI DWELL - APT BUILD,true,18-24,M,BLACK,<18,M,BLACK,1020808,262493,40.88708918800006,-73.86778566699996,POINT (-73.86778566699996 40.88708918800006)
229493102,06/12/2021,00:30:00,BRONX,40,2,MULTI DWELL - PUBLIC HOUS,false,25-44,M,WHITE HISPANIC,25-44,M,WHITE HISPANIC,1010608,237548,40.81865896800008,-73.904773059,POINT (-73.904773059 40.81865896800008)
224655375,02/21/2021,17:13:00,MANHATTAN,33,0,,false,,,,25-44,M,BLACK,999740,244508,40.83778792100002,-73.94402179899998,POINT (-73.94402179899998 40.83778792100002)
232591780,08/21/2021,00:23:00,BRONX,44,0,,false,18-24,M,WHITE HISPANIC,25-44,F,BLACK HISPANIC,1007369,244370,40.83739247600005,-73.91645167499998,POINT (-73.91645167499998 40.83739247600005)
230885993,07/15/2021,21:55:00,BROOKLYN,77,0,BAR/NIGHT CLUB,false,25-44,M,BLACK,25-44,M,BLACK,998193,186297,40.678016222000046,-73.94973324699998,POINT (-73.94973324699998 40.678016222000046)
234928487,10/13/2021,22:40:00,BROOKLYN,73,2,MULTI DWELL - PUBLIC HOUS,false,,,,25-44,M,BLACK,1010876,182683,40.668067545000035,-73.90402198699996,POINT (-73.90402198699996 40.668067545000035)
227671865,05/03/2021,17:02:00,BROOKLYN,75,0,,false,,,,25-44,M,BLACK,1012373,179805,40.66016344800004,-73.89863771999995,POINT (-73.89863771999995 40.66016344800004)
238389884,12/28/2021,21:32:00,BRONX,43,0,,false,,,,18-24,M,BLACK,1026268,237961,40.819731930000046,-73.84819280399995,POINT (-73.84819280399995 40.819731930000046)
227221322,04/21/2021,15:57:00,BRONX,44,0,,false,,,,25-44,M,BLACK,1010044,244313,40.83722861900003,-73.90678471699994,POINT (-73.90678471699994 40.83722861900003)
228162573,05/13/2021,21:30:00,BRONX,42,2,MULTI DWELL - PUBLIC HOUS,false,,,,18-24,M,BLACK,1010706,243782,40.83576922100008,-73.90439441599993,POINT (-73.90439441599993 40.83576922100008)
230247119,06/30/2021,00:52:00,MANHATTAN,32,0,,false,,,,25-44,M,BLACK,999879,236455,40.815684487000055,-73.94353822199997,POINT (-73.94353822199997 40.815684487000055)
236817419,11/22/2021,01:18:00,BRONX,52,0,,false,,,,<18,M,BLACK,1019084,258676,40.876619694000055,-73.87404053299997,POINT (-73.87404053299997 40.876619694000055)
226542632,04/05/2021,20:40:00,BRONX,40,2,MULTI DWELL - PUBLIC HOUS,false,,,,18-24,M,BLACK,1007157,238626,40.82162739700004,-73.91723743399997,POINT (-73.91723743399997 40.82162739700004)
227431725,04/27/2021,18:15:00,BRONX,47,0,,false,25-44,M,BLACK,25-44,F,WHITE,1021249,260648,40.88202340700008,-73.86620093899995,POINT (-73.86620093899995 40.88202340700008)
230741369,07/11/2021,15:18:00,BRONX,48,0,,true,18-24,M,BLACK,<18,M,BLACK,1016838,250252,40.85350696200004,-73.88220309599996,POINT (-73.88220309599996 40.85350696200004)
235033374,10/15/2021,20:30:00,MANHATTAN,7,0,,true,,,,<18,M,BLACK,987969,200865,40.71801219200007,-73.98658542399994,POINT (-73.98658542399994 40.71801219200007)
224412024,02/15/2021,07:10:00,BRONX,48,0,GAS STATION,false,18-24,M,WHITE HISPANIC,45-64,M,BLACK HISPANIC,1011588,247981,40.84729155900004,-73.90118991899999,POINT (-73.90118991899999 40.84729155900004)
238040457,12/18/2021,18:00:00,BROOKLYN,75,1,,false,,,,25-44,M,BLACK,1021568,185710,40.676337363000066,-73.86546353999995,POINT (-73.86546353999995 40.676337363000066)
229946096,06/22/2021,23:47:00,QUEENS,106,0,,false,18-24,M,WHITE HISPANIC,25-44,M,BLACK HISPANIC,1033910,188462,40.68383033400005,-73.82094830499993,POINT (-73.82094830499993 40.68383033400005)
226203716,03/26/2021,20:40:00,BROOKLYN,71,0,,false,,,,25-44,M,BLACK,995732,182977,40.66890710000007,-73.95861145599997,POINT (-73.95861145599997 40.66890710000007)
235428527,10/22/2021,18:46:00,BRONX,52,0,,false,<18,M,WHITE HISPANIC,18-24,M,WHITE HISPANIC,1018438,259932,40.880069548000044,-73.87637007799998,POINT (-73.87637007799998 40.880069548000044)
237012948,11/26/2021,21:55:00,BRONX,44,0,,false,18-24,M,BLACK,25-44,M,BLACK,1005507,241210,40.82872386500002,-73.92319076799998,POINT (-73.92319076799998 40.82872386500002)
233307768,09/08/2021,23:32:00,MANHATTAN,23,0,,false,25-44,M,BLACK,25-44,M,BLACK,998959,227093,40.78998994400007,-73.94688243299998,POINT (-73.94688243299998 40.78998994400007)
237290043,12/03/2021,02:25:00,BROOKLYN,60,0,PVT HOUSE,true,,,,25-44,M,WHITE HISPANIC,994256,150750,40.580452527000034,-73.96397986499993,POINT (-73.96397986499993 40.580452527000034)
231792293,08/04/2021,13:40:00,MANHATTAN,32,0,,false,,,,18-24,M,BLACK,1002309,236836,40.81672559200007,-73.93475828499999,POINT (-73.93475828499999 40.81672559200007)
233172613,09/05/2021,23:57:00,BRONX,47,0,,false,,,,25-44,M,BLACK,1021929,262836,40.88802589900007,-73.86372953099993,POINT (-73.86372953099993 40.88802589900007)
225621192,03/14/2021,19:00:00,BRONX,47,0,MULTI DWELL - APT BUILD,false,,,,<18,M,BLACK,1021271,257055,40.87216165000007,-73.86614123499999,POINT (-73.86614123499999 40.87216165000007)
232291900,08/14/2021,02:00:00,BRONX,50,0,,true,,,,18-24,M,BLACK HISPANIC,1017508,264008,40.89126043500005,-73.87971291899999,POINT (-73.87971291899999 40.89126043500005)
234756219,10/09/2021,16:24:00,MANHATTAN,28,0,,false,18-24,M,BLACK,18-24,M,BLACK,996795,233168,40.80666750200004,-73.95468599599997,POINT (-73.95468599599997 40.80666750200004)
230162225,06/27/2021,05:40:00,MANHATTAN,32,0,,false,,,,25-44,M,BLACK,1000965,240134,40.82578031500003,-73.93960564299994,POINT (-73.93960564299994 40.82578031500003)
234101081,09/26/2021,16:20:00,QUEENS,101,0,MULTI DWELL - APT BUILD,true,25-44,M,BLACK,25-44,M,BLACK,1049812,156595,40.59625904800004,-73.76392225799998,POINT (-73.76392225799998 40.59625904800004)
230815780,07/14/2021,02:11:00,QUEENS,103,0,,false,25-44,M,BLACK,25-44,M,WHITE HISPANIC,1036493,195332,40.702671986000034,-73.81158183899998,POINT (-73.81158183899998 40.702671986000034)
231866067,08/05/2021,11:30:00,BRONX,44,0,,false,,,,18-24,M,BLACK,1008123,244271,40.837118743000076,-73.91372714799998,POINT (-73.91372714799998 40.837118743000076)
228307052,05/17/2021,00:43:00,BROOKLYN,67,0,,false,25-44,M,BLACK,25-44,M,BLACK,1007218,176225,40.65035200500005,-73.91723006499996,POINT (-73.91723006499996 40.65035200500005)
237630152,12/09/2021,18:28:00,BROOKLYN,69,0,,true,,,,25-44,M,BLACK,1008575,170521,40.634692132000055,-73.91236031799998,POINT (-73.91236031799998 40.634692132000055)
